asin,categories,description,reviewerID,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
B000F83SZQ,"[['Books', 'Literature & Fiction'], ['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense', 'Suspense'], ['Kindle Store', 'Kindle eBooks', 'Mystery, Thriller & Suspense', 'Suspense']]",0,A1F6404F1VG29J,Avidreader,"[0, 0]",I enjoy vintage books and movies so I enjoyed reading this book.  The plot was unusual.  Don't think killing someone in self-defense but leaving the scene and the body without notifying the police or hitting someone in the jaw to knock them out would wash today.Still it was a good read for me.,5.0,Nice vintage story,1399248000,"05 5, 2014"
B000F83SZQ,"[['Books', 'Literature & Fiction'], ['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense', 'Suspense'], ['Kindle Store', 'Kindle eBooks', 'Mystery, Thriller & Suspense', 'Suspense']]",0,AN0N05A9LIJEQ,critters,"[2, 2]","This book is a reissue of an old one; the author was born in 1910. It's of the era of, say, Nero Wolfe. The introduction was quite interesting, explaining who the author was and why he's been forgotten; I'd never heard of him.The language is a little dated at times, like calling a gun a &#34;heater.&#34;  I also made good use of my Fire's dictionary to look up words like &#34;deshabille&#34; and &#34;Canarsie.&#34; Still, it was well worth a look-see.",4.0,Different...,1388966400,"01 6, 2014"
B000F83SZQ,"[['Books', 'Literature & Fiction'], ['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense', 'Suspense'], ['Kindle Store', 'Kindle eBooks', 'Mystery, Thriller & Suspense', 'Suspense']]",0,A795DMNCJILA6,dot,"[2, 2]","This was a fairly interesting read.  It had old- style terminology.I was glad to get  to read a story that doesn't have coarse, crasslanguage.  I read for fun and relaxation......I like the free ebooksbecause I can check out a writer and decide if they are intriguing,innovative, and have enough of the command of Englishthat they can convey the story without crude language.",4.0,Oldie,1396569600,"04 4, 2014"
B000F83SZQ,"[['Books', 'Literature & Fiction'], ['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense', 'Suspense'], ['Kindle Store', 'Kindle eBooks', 'Mystery, Thriller & Suspense', 'Suspense']]",0,A1FV0SX13TWVXQ,"Elaine H. Turley ""Montana Songbird""","[1, 1]",I'd never read any of the Amy Brewster mysteries until this one..  So I am really hooked on them now.,5.0,I really liked it.,1392768000,"02 19, 2014"
B000F83SZQ,"[['Books', 'Literature & Fiction'], ['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense', 'Suspense'], ['Kindle Store', 'Kindle eBooks', 'Mystery, Thriller & Suspense', 'Suspense']]",0,A3SPTOKDG7WBLN,Father Dowling Fan,"[0, 1]","If you like period pieces - clothing, lingo, you will enjoy this mystery.  Author had me guessing at least 2/3 of the way through.",4.0,Period Mystery,1395187200,"03 19, 2014"
B000F83SZQ,"[['Books', 'Literature & Fiction'], ['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense', 'Suspense'], ['Kindle Store', 'Kindle eBooks', 'Mystery, Thriller & Suspense', 'Suspense']]",0,A1RK2OCZDSGC6R,ubavka seirovska,"[0, 0]",A beautiful in-depth character description makes it like a fast pacing movie. It is a pity Mr Merwin did not write 30 instead only 3 of the Amy Brewster mysteries.,4.0,Review,1401062400,"05 26, 2014"
B000F83SZQ,"[['Books', 'Literature & Fiction'], ['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense', 'Suspense'], ['Kindle Store', 'Kindle eBooks', 'Mystery, Thriller & Suspense', 'Suspense']]",0,A2HSAKHC3IBRE6,Wolfmist,"[0, 0]","I enjoyed this one tho I'm not sure why it's called An Amy Brewster Mystery as she's not in it very much. It was clean, well written and the characters well drawn.",4.0,Nice old fashioned story,1402358400,"06 10, 2014"
B000F83SZQ,"[['Books', 'Literature & Fiction'], ['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense', 'Suspense'], ['Kindle Store', 'Kindle eBooks', 'Mystery, Thriller & Suspense', 'Suspense']]",0,A3DE6XGZ2EPADS,WPY,"[1, 1]","Never heard of Amy Brewster. But I don't need to like Amy Brewster to like this book. Actually, Amy Brewster is a side kick in this story, who added mystery to the story not the one resolved it. The story brings back the old times, simple life, simple people and straight relationships.",4.0,Enjoyable reading and reminding the old times,1395446400,"03 22, 2014"
B000FA64QO,"[['Books', 'Literature & Fiction', 'Genre Fiction', 'Movie Tie-Ins'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle eBooks', 'Literature & Fiction', 'Genre Fiction', 'Movie Tie-Ins'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'TV, Movie, Video Game Adaptations', 'Star Wars']]",0,A3SZMGJMV0G16C,"Andrew Pruette ""Rancors Love to Read""","[0, 0]","With Ylesia, a novella originally published in e-book form, Walter Jon Williams gets an opportunity to insert further story into his novel Destiny's Way. The events of Ylesia take place midway through that book, so this is a good read to tackle immediately after finishing Destiny's Way. The novella follows a New Republic mission to the titular planet, which is serving as the capital of the traitorous Peace Brigade and houses their attempt at a Senate. The Peace Brigade promote capitulation to the Yuuzhan Vong and have served as a human counterpoint to the efforts of the Jedi and the more heroic members of the New Republic throughout the New Jedi Order. They are a logical part of the story but not one I've found terribly interesting, as we rarely get anything told from their point-of-view, making them rather cardboard as adversaries.Yleisa brings back Thracken Sal-Solo in an entertaining plotline which sees him forcibly installed as the President of the Peace Brigade. This doesn't fit well with Sal-Solo's plans to better his own galactic situation but he displays a knack for adaption and survival not unlike that of his famous cousin Han Solo. Ylesia itself, a major source of the drug spice in the Star Wars galaxy, will be familiar to readers of A. C. Crispin's Han Solo Trilogy, and it's nice to see it return.For the most part Yleisa doesn't advance the story of Destiny's Way much: primarily, it delivers some closure to the Peace Brigade subplot. Sal-Solo was the most memorable aspect, as some of the space battle and ground assault material following the New Republic's invasion of the system felt like material I've read an awful lot of times before.  Ylesia is a solid enough little story but I would only recommend it to someone going through the entire New Jedi Order and wanting a little more.",2.0,Minor New Jedi Order side story,1331769600,"03 15, 2012"
B000FA64QO,"[['Books', 'Literature & Fiction', 'Genre Fiction', 'Movie Tie-Ins'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle eBooks', 'Literature & Fiction', 'Genre Fiction', 'Movie Tie-Ins'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'TV, Movie, Video Game Adaptations', 'Star Wars']]",0,A1UG4Q4D3OAH3A,dsa,"[0, 0]",Great book couldn't put it down.  The story expands events in the new Jedi order series.  Good writer in Walter Jon Williams.,5.0,Ylesia,1391472000,"02 4, 2014"
